No_ arbol;di;hi;H;D;AB;Newton;SN;Ff_abs_N
2;21,14;0,01;15,7;16,36;0,035099413;0,068716683;0,173827725;0,315442022
4;17,92;0,01;11,5;14,77;0,025221208;0,042119573;0,088201059;0,304095552
5;22,73;0,01;14,4;16,55;0,040577824;0,069434277;0,199645275;0,341670743
6;60,48;0,01;28,8;49,78;0,287285328;1,01063068;2,695065609;0,325734237
8;72,26;0,01;13,7;46,98;0,410096248;0,546137293;0,998500872;0,177722366
9;72,38;0,01;14;40,55;0,411459448;0,431825319;0,845731227;0,14681732
19;61,43;0;19,9;55,64;0,296381377;0,916308345;1,982904969;0,336200158
21;26,61;0;18,8;21,52;0,055613423;0,131200208;0,377711257;0,361262139
23;51,82;0;28,58;46,22;0,210903943;0,905571629;2,899467042;0,481028993
24;38,45;0;21,1;31,45;0,116113461;0,328454873;0,862851232;0,352185035
26;46,79;0;26;45,58;0,171947542;0,792604251;2,169064294;0,485180241
29;22,7;0;16,4;19,32;0,040470782;0,089175343;0,206510139;0,311140064
32;20,85;0;16,2;15,44;0,034143025;0,061028241;0,154631382;0,279563599
35;44,75;0;23,5;42,85;0,157280891;0,623729728;2,219441182;0,600481756
37;26,93;0;23,4;22,79;0,05695903;0,182389561;0,448334976;0,33637536
40;39;0;17,3;36;0,119459061;0,236183682;0,643077538;0,311170302
41;71,62;0;23,9;69,07;0,40286405;1,493401669;3,600786762;0,373973637
43;21,2;0;19,1;20,88;0,035298935;0,117578305;0,27010152;0,400619475
45;22,79;0;20,03;22,79;0,040792332;0,147452262;0,382744579;0,468435249
48;22,09;0;20,4;20,69;0,038324925;0,118595009;0,294215838;0,376317632
49;22,73;0;23;22,47;0,040577824;0,149460367;0,414240654;0,443849904
52;28,71;0;20,9;25,21;0,064737551;0,209894644;0,520504155;0,384699524
55;16,04;0;12,68;14,45;0,02020685;0,0429866;0,118933843;0,464181245
58;47,43;0;23,45;39,15;0,176683556;0,610487048;1,431067089;0,345398953
62;45,14;0;29,7;42,05;0,160034269;0,740051064;2,064504466;0,434356562
65;47,81;0;18,3;35,21;0,179526006;0,39107693;0,954994637;0,290684901
69;20;0;19,8;19,42;0,031415927;0,116380496;0,315115626;0,506587975
74;42,65;0;30,9;38,83;0,142865693;0,676497008;1,824598967;0,413314834
78;18,72;0;15,9;14,39;0,027523368;0,050107975;0,152800806;0,349161983
80;18,84;0;17,83;18,78;0,027877362;0,071891636;0,199270585;0,4009038
84;15,66;0;12,9;11,84;0,019260759;0,031365668;0,073821946;0,297113497
88;25,78;0;16;24,83;0,052198222;0,1422389;0,348251385;0,41698186
90;31,83;0;18,11;27,69;0,079572529;0,219757873;0,475878103;0,330228166
93;28,01;0;21,3;27,82;0,061619206;0,252159838;0,744996719;0,567621265
95;20,88;0;15,5;15,79;0,034241349;0,063267658;0,155619152;0,293211146
97;19,74;0;15,62;22,54;0,030604422;0,082782186;0,210942951;0,441265333
100;20,88;0;18,65;18,02;0,034241349;0,096712959;0,24436112;0,382650602
104;25,47;0;18;22,92;0,05095042;0,148605705;0,480260965;0,523669177
105;18,78;0;26,4;14,64;0,027700082;0,086423414;0,234865859;0,321169952
107;8,66;0;18,8;7,19;0,005890141;0,015058945;0,040355327;0,364432713
111;17,2;0;16,66;15,1;0,023235219;0,059544696;0,17368239;0,448677213
117;12,3;0;13,39;10,2;0,011882289;0,023055633;0,058879676;0,370070725
119;11,8;0;11,84;8,9;0,010935884;0,016823028;0,047887959;0,36984583
121;23,7;0;22,28;18,09;0,044115029;0,112876344;0,248531292;0,252859525
124;13,2;0;15;11,2;0,013684778;0,030947829;0,096433543;0,469784971
