Datos para leer en replit		
ID	DAP_cm	Altura_m
1	11.81	16.8
2	16.39	19.2
3	12.03	20.6
4	41.09	25.6
5	10.33	12.16
6	14.8	15.4
7	27.47	19.7
8	17.48	14.8
9	12.92	19.5
10	12.1	12.5
11	17.06	23.6
12	13.88	14.5
13	14.71	16.2
14	22.66	19.3
15	17.25	21
16	16.17	18.7
17	20.98	17.9
18	15.34	18.3
19	30.75	21.7
20	19.51	19.4
21	39.4	20.1
22	23.33	20
23	13.27	17.1
24	35.98	24.2
25	31.52	23.2
26	11.49	17.8
27	32.82	20
28	12.1	16.97
29	14.2	16.2
30	25.5	18.9
31	23.46	23.5
32	17.38	21
33	12.45	14.91
34	14.67	15.4
35	12.26	18.1
36	10.57	13.5
37	49.59	22.1
38	14.23	20.2
39	31.9	21
40	28.13	22.1
41	16.62	18.5
42	15.73	16
43	23.59	21.3
44	15.5	18.5
45	11.62	16.2
46	15.88	15.5
47	10.89	15.1
48	22.12	14.82
49	16.27	14.27
50	10.73	15.4
51	21.26	18.7
52	30.18	19.3
53	21.74	21.3
54	16.27	10.27
55	18.02	17.8
56	11.46	14.1
57	17.67	17.8
58	11.14	10.2
59	10.54	11.4
60	18.72	18.4
61	30.43	24.7
62	16.68	17.5
63	14.93	14.2
64	13.34	16.1
65	16.33	25.1
66	24.1	21.5
67	17.51	17.6
68	22.15	19.9
69	16.78	20.1
70	30.56	28.3
71	16.97	12.2
72	19.23	13.1
73	17.51	12.9
74	12.03	16.3
75	16.55	10.5
76	14.74	15.5
77	14.04	11.7
78	17.89	12.27
79	10.6	11.3
80	38.42	22.7
81	14.58	13.8
82	12.16	13.3
83	16.33	14.7
84	19.8	16.7
85	26.42	15.8
86	26.45	9.8
87	11.27	13.5
88	39.03	17.1
89	11.27	8.8
90	16.84	13.8
91	19.48	17.5
92	11.08	9.8
93	12.1	10.3
94	31.99	17.5
95	15.34	11.7
96	10.76	9.5
97	15.69	14.4
98	13.53	11.5
99	18.4	18.1
100	14.1	13.4
101	10.73	6.5
102	12.96	11.8
103	10.38	12.87
104	11.84	10.7
105	23.08	12.3
106	14.93	17.7
107	33.58	15.7
108	19.45	19.1
109	16.68	11.9
110	11.68	10.7
111	12.96	11.9
112	16.36	15
113	15.82	12.6
114	29.06	17.2
115	10.22	13
116	18.59	10.9
117	27.92	15.7
118	21.33	15.5
119	19.19	10.5
120	16.74	9.5
121	13.18	16.5
122	11.56	10.7
123	19.16	11
124	17.86	15.5
125	35.65	22.5
126	13.11	13.7
Partamos aca para dos marcos de datos		
127	15.31	14.3
128	19.83	14.3
129	10.44	11.3
130	16.65	11.5
131	17.89	13.6
132	28.2	16.1
133	16.81	17.5
134	28.93	19.5
135	23.56	17.8
136	27.41	23.9
137	10.54	11.37
138	19.48	24.2
139	27.44	23.9
140	16.46	18.29
141	18.37	23.2
142	12.29	10.6
143	12.54	13.3
144	10.66	15.9
145	14.52	18.9
146	10.12	11.9
147	12.76	13.9
148	18.37	14.5
149	30.24	22.7
150	29.09	20
151	19.45	15
152	14.13	16
153	19.89	15.3
154	14.01	16.3
155	49.05	22.1
156	28.78	21.6
157	21.58	21.54
158	18.84	18.6
159	13.08	10.18
160	16.55	14.65
161	12.29	13.7
162	16.78	15
163	18.88	11.4
164	13.5	16.9
165	11.24	8.3
166	10.09	12.8
167	11.52	9.2
168	12.03	11.9
169	10.44	9.1
170	15.09	16.7
171	11.27	12.35
172	10.6	12.8
173	12.1	15
174	16.01	13.4
175	13.5	14.1
176	12.35	16.1
177	10.95	11.1
178	15.66	15.2
179	28.33	14.8
180	11.21	13.3
181	19.54	15.4
182	18.56	15.9
183	13.69	12.7
184	13.69	11
185	18.81	13.3
186	13.21	12
187	12.61	10.9
188	12.26	10.9
189	11.46	11.5
190	10.22	10.47
191	10.44	9.6
192	13.78	15.1
193	17.54	16.4
194	20.18	11.6
195	15.73	12.7
196	25.02	15.2
197	12.26	12.1
198	27.82	15.5
199	12.73	14.5
200	17.06	13.5
201	16.55	11.9
202	11.71	11.2
203	23.94	16.7
204	10.89	15.2
205	10.7	13.3
206	13.78	15.5
207	10.25	17.4
208	21.39	20.52
209	13.62	18.3
210	12.48	15.3
211	25.34	13.53
212	13.85	15
213	18.43	16.2
214	11.3	13.7
215	13.31	14.7
216	15.98	13.3
217	16.39	11.1
218	23.27	24.6
219	26.58	24.3
220	17.38	18.6
221	13.62	16.7
222	18.18	11.7
223	28.27	20.1
224	12	10.9
225	10.5	11.7
226	23.33	23.2
227	12.89	18.3
228	22.12	19.62
229	25.08	21.17
230	16.9	14.9
231	11.33	12
232	14.04	19.8
233	10.79	15.26
234	48.7	24.3
235	12.96	16.1
236	12.41	16.7
237	12.32	8.45
238	11.17	15.5
239	35.94	30
240	10.82	15.3
241	27.5	19.5
242	14.39	17.8
243	34.7	18.1
244	33.96	25.9
245	39.47	27.2
246	23.59	26.8
247	10.92	12.1
248	31.32	24.8
249	17.6	21.6
250	14.48	18.5
251	24.1	24.1
252	14.42	12
253	17.89	14.9
254	17.63	14.1
255	48.51	27.1
256	13.11	16.8
257	12.64	20.2
258	11.78	17.33
259	32.88	20.2
260	16.81	21
261	21.45	17.01
262	19.8	24.4
263	12.22	17.5
264	35.68	23.8
265	17.83	17.5
266	19.13	17.1
267	17.83	18.2
268	12.61	12
269	19.13	22.5
270	30.84	16.25
271	12.99	17.6
272	15.22	20.5
273	37.02	26.5
274	17.48	18.5
275	19.45	19
276	28.78	19.7
277	14.83	16
278	16.9	18
279	16.08	20.2
280	11.36	13.9
281	32.15	23.2
282	25.91	19.6
283	11.46	19.8
284	29.48	22.3
285	32.91	22.5
286	20.15	18.3
287	18.24	20.7
288	16.11	16.3
289	10.19	15.1
290	19.96	20.2
